full,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,ppm,team_rank
Max Thompson,Burnley,0,0,3,0,0.0,5760,3006,0,0,0.0,0.0,2,0,0,0,0,306,0,4648,9,10,0,1,514,1207,693,40.5,4.0,0,0.222222222222222,21.0
Willian Borges Da Silva,Chelsea,9,26,698,10,1177.6999999999998,4294,7200,35,9,294.6,834.7999999999998,2595,0,0,0,0,741,0,12126856,55,68,930,168,596479,1826662,1230183,269.4999999999999,19.0,4,23.795458746393656,1.0
Tammy Abraham,Chelsea,6,20,461,7,283.20000000000005,17480,7200,34,15,223.29999999999998,659.6,2206,1,0,0,0,741,0,70675882,55,68,1301,153,597490,5783048,5185558,288.5,19.0,2,20.295536468464014,2.0
Mason Mount,Chelsea,6,11,510,9,814.0000000000001,17594,7200,44,7,242.79999999999995,641.2,2865,0,0,0,0,741,0,54965776,55,68,974,137,638758,4314451,3675693,241.2999999999999,19.0,3,21.74025369248392,3.0
C?sar Azpilicueta,Chelsea,6,16,700,8,708.6999999999999,3990,7200,53,2,205.39999999999998,905.1999999999999,3229,0,0,0,0,741,0,17301501,55,68,438,130,40682,755730,715048,224.00000000000009,19.0,1,22.091399909936676,4.0
Christian Pulisic,Chelsea,8,8,379,6,425.99999999999994,16378,7200,28,9,204.2,556.2000000000002,1717,0,0,0,0,741,0,20863579,55,68,1059,127,313981,2342187,2028206,273.9,19.0,0,17.618130695542632,5.0
Marcos Alonso,Chelsea,4,11,395,7,413.4,3914,7200,18,4,124.29999999999998,411.80000000000007,1429,0,0,0,0,741,0,8087021,55,68,420,100,-186061,480698,666759,233.1999999999999,19.0,4,16.38074672844635,6.0
Jorge Luiz Frello Filho,Chelsea,3,9,535,6,422.3999999999999,4484,7200,40,4,118.40000000000003,599.9999999999999,2376,0,0,0,0,741,0,10057247,55,68,158,92,-80520,661858,742378,188.9000000000001,19.0,10,18.53269307723089,7.0
Kepa Arrizabalaga,Chelsea,0,0,507,8,0.0,4218,7200,47,0,50.2,503.5999999999999,2970,0,0,0,0,741,55,13621891,55,68,0,90,-114018,388417,502435,208.00000000000006,19.0,0,16.454545454545453,8.0
Mateo Kovacic,Chelsea,3,6,461,4,458.5000000000001,16416,7200,37,1,114.00000000000001,496.99999999999994,2065,0,0,0,0,741,0,2687118,55,68,186,68,-31276,134492,165768,203.0000000000001,19.0,8,12.727145670541905,9.0
